,メーカー発表,価格,サイズ,重量,記録メディア,発売日,カラー,センサー画素,電源,防水・防塵・耐久性,モニター,補助光,画素，fps,記録フォーマット,マイク,同社調べ,通信・接続,レンズ性能,ズーム倍率,アプリ,シャッタースピード,感度,エンジン,トラッキング,装備品,他,名前の由来,360度,AF,手ブレ,撮影機能,色補正,ビューモード
リコー、初音ミクモデルの「RICOH THETA SC」を33939円で限定発売,リコーは、「初音ミク」10周年を記念したコラボレーションモデルとして、360度カメラ「ＲＩＣＯＨＴＨＥＴＡＳＣＴｙｐｅＨＡＴＳＵＮＥＭＩＫＵ」を期間限定で受注販売すると発表した,価格は33，939円,,,,受注期間は、9月1日12時から10月31日12時まで|発送は、9月末から12月中旬ごろを予定している,今回発売するコラボモデルは、2016年10月発売の「ＲＩＣＯＨＴＨＥＴＡＳＣ」をベースに、「初音ミク」のイメージカラーであるブルーグリーン塗装のボディを採用,,,,,,なお、主なカメラの仕様は「ＲＩＣＯＨＴＨＥＴＡＳＣ」と同等とのことだ,,,,,,,また、撮影した360度画像は、専用の360度画像編集アプリ「ＲＩＣＯＨＴＨＥＴＡＴｙｐｅＨＡＴＳＵＮＥＭＩＫＵ」に取り込んで、「初音ミク」の3Ｄモデルと360度画像の合成を楽しめる点も特徴だ,,,,,,イラストレーターのＫＥＩさんによる「初音ミク」公式イラストを描いたほか、オリジナルシャッター音を採用するなど、特別仕様となっている|さらに、スペシャルグッズとして、「ドッグタグ型キーホルダー」、限定モデル専用カラーの「ＡＢＩＴＡＸ製専用ケース」を専用化粧箱に同梱|ドッグタグ型キーホルダー、専用化粧箱に、イラストレーターの藤ちょこさんによるオリジナル書き下ろしイラストが入った、特別なパッケージとなっている,,,,,,,
カシオ、超広角レンズ搭載で美肌機能も強化した自撮りカメラ「EX-ZR4100」,カシオ計算機は、デジタルカメラ「ＥＸＩＬＩＭ」の新モデル「ＥＸ−ＺＲ4100」を発表,市場想定価格は50，500円前後,本体サイズは108．3×61．5×28～37．7ｍｍ,約249ｇ,このほか、内蔵メモリーが27．6ＭＢで、外部記録媒体はＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカードをサポート,8月25日より発売する,ボディカラーは、ブラック、ホワイトを用意する,仕様面では、撮像素子に、1／1．7型で有効1210万画素の裏面照射型ＣＭＯＳセンサーを採用,バッテリーは専用リチウムイオン充電池「ＮＰ−130Ａ」を使用し、静止画撮影枚数が約430枚,,180度開く3．0型チルト液晶を搭載し、レンズ横のフロントシャッターを押して、スムーズに自撮りを行える点も特徴だ,,動画機能はフルＨＤに対応する,,,,,レンズは超広角19ｍｍで、Ｆ値がＦ2．7～Ｆ6．4,光学ズームは5倍に対応する,スマートフォンとの連携機能では、専用アプリ「ＥＸＩＬＩＭＣｏｎｎｅｃｔ」をインストールしたスマートフォンとＢｌｕｅｔｏｏｔｈｌｏｗｅｎｅｒｇｙで常時接続し、カメラ内に保存してある画像をスマートフォンで閲覧、コピーすることが可能だ,,,,,,,,,,,,肌のなめらかさを整えたり、みずみずしい美白肌に仕上げたりできる「メイクアップ」が進化したモデル|「肌のなめらかさ」「肌の色」「顔の明るさ」「立体感」をそれぞれ設定でき、より細かく自分好みの自然な美肌を選べるようになった|さらに、顔検出により「メイクアップ」の美肌処理をかけながら、さまざまな撮影効果を楽しめる機能「メイクアップアート」も搭載|人物の肌にメイクアップ効果をかけつつ、背景のみ彩度を高めてポップな印象に仕上げる「ビビッド」、背景のみコントラストや輪郭を強調し絵画のように仕上げる「ＨＤＲ」、被写体の背景をぼかす「背景ぼかし」など7パターンを用意する,
ニコン、4K/30p動画撮影に対応したタフコンデジ「COOLPIX W300」,ニコンイメージングジャパンは、防水性能や耐衝撃性能を搭載したコンパクトデジタルカメラ「ＣＯＯＬＰＩＸＷ300」を発表,価格はオープン,本体サイズは111．5×66×29ｍｍ、重量は約231ｇ,本体サイズは111．5×66×29ｍｍ、重量は約231ｇ,内蔵メモリーは約99ＭＢで、外部記録媒体がＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカードをサポート,6月30日より発売する,ボディカラーは、オレンジ、イエロー、カムフラージュ,画質面では、撮像素子は、有効1605万画素裏面照射型ＣＭＯＳセンサーを採用,電池寿命は、静止画撮影時が約280コマ,水深30ｍまでハウジングなしで撮影できる、ＩＰＸ8相当の防水性能を装備したモデル|耐衝撃性能は、2015年3月発売の従来モデル「ＣＯＯＬＰＩＸＡＷ130」から進化し、落下高さ2．4ｍまで対応|ＩＰ6Ｘ相当の防塵性能、マイナス10度までの耐寒性能も備える,このほか、広視野角の3型液晶モニターを装備,,動画機能では、4Ｋ／30ｐ動画撮影に対応,,,,,広角24ｍｍ相当から望遠120ｍｍ相当の光学5倍ズームのＮＩＫＫＯＲレンズを装備し、ダイナミックファインズームで、10倍までのズームも可能だ,広角24ｍｍ相当から望遠120ｍｍ相当の光学5倍ズームのＮＩＫＫＯＲレンズを装備し、ダイナミックファインズームで、10倍までのズームも可能だ,水面から差し込む光で明るさが安定しない水中でもきれいに撮影できる、水中動画撮影時のＡＥロックを実現する|撮影後には、確認した位置情報を写真に表示できる,,,,機能面では、ボディ側面のツールボタンを押して、方位情報や高度情報などを確認できる「アクティブガイド」を新たに搭載|高度や水深のログデータをグラフで確認することが可能だ,,,,,,高性能手ブレ補正機能によって、水中をはじめとするアクティブなシーンでもブレを効果的に軽減し、被写体を美しくとらえる,また、撮影した動画を早送り動画として記録する「スーパーラプス動画」も新たに搭載|被写体の移り変わりを時間短縮して記録し、ユニークな映像表現を楽しめる,,
オリンパス、新イメージセンサー搭載のタフカメラ「Tough TG-5」を6/23発売,オリンパスは、タフネスコンパクトデジタルカメラ「ＯＬＹＭＰＵＳＴｏｕｇｈＴＧ−5」を発表,直販価格は55，080円,本体サイズは113×66×31．9ｍｍ,,外部記録媒体はＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカード、Ｅｙｅ−Ｆｉカードに対応,6月23日より発売する,ボディカラーは、レッド、ブラックを用意する,このほか主な仕様は、撮像素子が有効1200万画素の1／2．33型ＣＭＯＳセンサー、モニターが3．0型液晶,バッテリーはリチウムイオン充電池「ＬＩ−92Ｂ」を使用し、撮影可能枚数が約340枚,「Ｔｏｕｇｈシリーズ」は、防水・防塵・耐衝撃などのタフ性能を備えたコンパクトデジタルカメラ|仕様面では、防水性能15ｍ、防塵、耐衝撃2．1ｍ、耐荷重100ｋｇｆ、耐低温マイナス10度に、耐結露を加えたタフ性能を採用,,,動画撮影は、フルハイビジョンの4倍の解像度を持つ「4Ｋムービー」での撮影に対応し、3840×2160／30ｐでの撮影をサポート|フルＨＤ対応の120ｆｐｓ「ハイスピードムービー」も備える,ＲＡＷ記録もサポートする,,,,レンズ部の保護ガラスをダブルガラス構造にすることで、温度差の大きな環境でも、結露しにくくなっているという,,,,,具体的には、常用感度での撮影時に加えて、薄暗いシーンでもノイズレベルをＩＳＯ感度1段分改善し、さらなる高画質化を実現|さらに、画像処理エンジンの高速化によって、複雑な演算ができるようになった|最高感度はＩＳＯ12800まで対応|今回発表した「ＴｏｕｇｈＴＧ−5」は、従来機種「ＳＴＹＬＵＳＴＧ−4Ｔｏｕｇｈ」にも搭載したＦ2．0の明るいレンズに加えて、新開発の「Ｈｉ−ｓｐｅｅｄ裏面照射型ＣＭＯＳイメージセンサー」、同社フラッグシップ機「ＯＭ−ＤＥ−Ｍ1ＭａｒｋＩＩ」に搭載された高速画像処理エンジン「ＴｒｕｅＰｉｃＶＩＩＩ」を採用した,機能面では、カメラに搭載されたセンサー類よって取得したトラッキング情報をカメラ上で表示、あるいはスマートフォンアプリ「ＯＩ．Ｔｒａｃｋ」上で映像とともに楽しめる「フィールドセンサーシステム」を搭載,,,,,,これにより、特に低感度時においてコントラストが低い部分での解像感が向上した,撮影機能では、4種類のマクロモードに対応,,
リコー、深14ｍ防水対応のタフネスカメラ「RICOH WG-50」を6/16発売,リコーおよびリコーイメージングは、6月下旬発売としていたタフネスカメラ「ＲＩＣＯＨＷＧ−50」の発売日を決定,市場想定価格は3万円台半ば,本体サイズは122．5×61．5×29．5ｍｍ、重量は約173ｇ,本体サイズは122．5×61．5×29．5ｍｍ、重量は約173ｇ,,6月16日より発売する,ボディカラーは、ブラック、オレンジ,撮影機能では、撮像素子が有効約1600万画素の1／2．3型ＣＭＯＳセンサーを装備,,水深14ｍで連続2時間の水中撮影に対応するＩＰＸ8相当の防水性能や、ホコリに強いＩＰ6Ｘ相当の防塵性能を備えたモデル|さらに、1．6ｍからの耐落下衝撃性能、マイナス10度での動作が可能な耐寒構造、100ｋｇｆの重さに耐える耐荷重構造も採用するなど、過酷なアウトドア環境下での使用に耐えるタフネスモデルに仕上げた,モニターは、2．7型のワイド液晶を装備した,レンズ周りには、近距離用のＬＥＤ補助光を6灯配置,,,,,,レンズは、焦点距離5～25ｍｍの光学5倍ズームに対応,レンズは、焦点距離5～25ｍｍの光学5倍ズームに対応|加えて、光学ズームと同等の画質を維持したままで画像をさらに拡大し、最大で約36倍相当の超高倍率撮影を楽しめる「インテリジェントズーム」機能、定点観測に便利な「インターバル撮影」機能も搭載した,,,,,,,,,,,,水中撮影に適した専用モードも用意する,,
リコー、水深14ｍ防水と1.6ｍ耐衝撃対応のタフコンデジ「RICOH WG-50」,リコーおよびリコーイメージングは、防水性能や耐落下衝撃性能を兼ね備えたコンパクトデジタルカメラ「ＲＩＣＯＨＷＧ−50」を発表,市場想定価格は3万円台半ば,本体サイズは122．5×61．5×29．5ｍｍ、重量は約173ｇ,本体サイズは122．5×61．5×29．5ｍｍ、重量は約173ｇ,記録媒体は、内蔵メモリー、ＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカードをサポートする,6月下旬より発売する,ボディカラーは、ブラック、オレンジ,撮影機能では、撮像素子が有効約1600万画素の1／2．3型ＣＭＯＳセンサーを装備,,水深14ｍで連続2時間の水中撮影に対応するＩＰＸ8相当の防水性能や、ホコリに強いＩＰ6Ｘ相当の防塵性能を備えたモデル|さらに、1．6ｍからの耐落下衝撃性能、マイナス10度での動作が可能な耐寒構造、100ｋｇｆの重さに耐える耐荷重構造も採用するなど、過酷なアウトドア環境下での使用に耐えるタフネスモデルに仕上げた,モニターは、2．7型のワイド液晶を装備した,このほか、レンズ周りには、近距離用のＬＥＤ補助光を6灯配置,,動画機能は、記録形式にＨ．264を採用したフルＨＤ撮影に対応し、ハイスピードカメラ撮影やインターバル動画撮影にも対応する,,,,レンズは、焦点距離5～25ｍｍの光学5倍ズームに対応,レンズは、焦点距離5～25ｍｍの光学5倍ズームに対応|加えて、光学ズームと同等の画質を維持したままで画像をさらに拡大し、最大で約36倍相当の超高倍率撮影を楽しめる「インテリジェントズーム」機能、定点観測に便利な「インターバル撮影」機能も搭載した,,,,,,,,,,,,また、一度に複数枚の画像を撮影、合成して、ブレの少ない画像を作る「手持ち夜景」モードを搭載|このほか、水中撮影に適した専用モードを用意|「マーメード」モード時は、フラッシュ撮影モード「発光禁止＋強制発光」を選択でき、1度のシャッターでフラッシュ非発光と発光の2枚を連続して撮影できる","上位機種と同様に、シーンモードの「風景」選択時のホワイトバランスを最適化し、木々などの緑を色鮮やかに映し出す点も特徴だ|水中で撮影した実写画像データをもとに「マーメード」「マーメードムービー」モードでの色再現やコントラストなどの画像処理を最適化し、水中で失われがちな赤系の色を美しく再現するほか、水中での光の拡散によるコントラスト低下を効果的に補正し、クリアな画像を得られる|「超解像」技術を応用した画像処理機能を搭載し、より解像感にすぐれた精細な画質画像を実現する,
サムスン、4Kに対応し軽量化した360度カメラ「Gear 360（2017）」,アイ・オー・データ機器は、サムスン製の360度カメラ「Ｇｅａｒ360ＳＭ−Ｒ210ＮＺＷＡＸＪＰ」の取り扱いを開始,価格はオープン,本体は、手のひらサイズの直径約3ｃｍのコンパクトサイズを実現した|本体サイズは46．3×100．6×45．1ｍｍ,重量は約130ｇ,同製品で撮影した動画や画像は取り外しのできるｍｉｃｒｏＳＤカードに保存でき、スマートフォンやパソコンへのデータの移動も簡単に行える,6月1日より発売する,,カメラ性能では、前後に2つの8．4ＭＰのＣＭＯＳセンサーとＦ値2．2の魚眼レンズを搭載,,また、本体は約130ｇと軽量かつ、防滴・防塵であるため、野外での撮影も可能,このほか、0．5型のＰＭＯＬＥＤディスプレイを搭載,,4096×2048ドットの高解像度な動画と、15ＭＰの写真で残せる,,,,ネットワーク機能では、ＩＥＥＥ802．11ａ／ｂ／ｇ／ｎ／ａｃ準拠の無線ＬＡＮ、Ｂｌｕｅｔｏｏｔｈ4．1を搭載,,,対応のスマートフォンは、ＧａｌａｘｙＳ8／Ｓ8＋／Ｓ7ｅｄｇｅ／Ｓ6／Ｓ6ｅｄｇｅ、ｉＰｈｏｎｅ7／7Ｐｌｕｓ／6ｓ／6ｓＰｌｕｓ／ＳＥ,,,,,,,,サムスン製のスマートフォン「Ｇａｌａｘｙ」やヘッドマウントディスプレイ「ＧｅａｒＶＲ」と連携する4Ｋ対応の360度カメラ|1台のカメラで全方位をカバーし、360度の世界を撮影可能,,,シングルレンズモードでは180度の動画・静止画の撮影も可能,,
リコー、4K動画撮影に対応した「RICOH THETA」を参考出品,リコーイメージングは、ワンショットで360度の撮影が可能な「ＲＩＣＯＨＴＨＥＴＡ」シリーズ初となる、高画質な360度の4Ｋ動画撮影に対応した開発中の新機種を、ＮＡＢが主催する放送機器展「ＮＡＢＳＨＯＷ2017」に参考出品すると発表した,,,,,なお、発売時期は2017年中を予定している,,,,,,,,,360度の高画質4Ｋ30ｆｐｓ動画撮影に対応するほか、4ｃｈマイクを内蔵し、360度動画にリンクした空間音声記録が可能だ,,,,,,,,,,,,,360度の撮影が可能な「ＲＩＣＯＨＴＨＥＴＡ」シリーズの最新モデルで、製品名は未定となっている|さらに、360度の4Ｋライブストリーミングに利用することが可能|360度の高画質4Ｋ30ｆｐｓ動画撮影に対応するほか、4ｃｈマイクを内蔵し、360度動画にリンクした空間音声記録が可能だ,,,専用拡張アプリケーションによる機能拡張に対応する,,
パナソニック、4Kセルフィー対応の光学30倍ズームデジカメ「LUMIX TZ90」,パナソニックは、光学30倍ズームレンズを搭載したコンパクトデジタルカメラ「ＬＵＭＩＸＤＣ−ＴＺ90」を発表|従来機種「ＬＵＭＩＸＤＭＣ−ＴＺ85」の後継と位置づけるモデル,価格はオープン,本体サイズは112×67．3×41．2ｍｍ、重量は約322ｇ、約280ｇ,本体サイズは112×67．3×41．2ｍｍ、重量は約322ｇ、約280ｇ,外部記録媒体は、ＳＤＸＣ／ＳＤＨＣ／ＳＤメモリーカードをサポートする,6月15日より発売する,ボディカラーは、ブラック、シルバーを用意する,撮像素子は、有効2030万画素の1／2．3型ＭＯＳセンサーを装備,電源はリチウムイオンバッテリーを内蔵し、バッテリー撮影可能枚数が約380枚,,このほか、モニターは180度チルト式でタッチパネル対応の3型液晶を装備,,機能面では、4Ｋ30ｐ動画撮影機能を搭載,,,,,レンズは、広角24ｍｍ／光学30倍ズームのライカＤＣＶＡＲＩＯ−ＥＬＭＡＲレンズを備えており、9群12枚のレンズ構成のうち、10面5枚の非球面レンズを使用|被写体から3ｃｍの距離でのマクロ撮影にも対応する,レンズは、広角24ｍｍ／光学30倍ズームのライカＤＣＶＡＲＩＯ−ＥＬＭＡＲレンズを備えており、9群12枚のレンズ構成のうち、10面5枚の非球面レンズを使用|被写体から3ｃｍの距離でのマクロ撮影にも対応する,,,,,,,,,,,手ブレ補正レンズの退避構造を採用することで、薄型化を実現した,さらに、「4Ｋ連写」「4Ｋ連写」「4Ｋプリ連写」という、撮影シーンに合わせて選べる3つの「4Ｋフォト」モードに加えて、簡単に連写で自分撮りができる「4Ｋセルフィー」モード、撮影後に好きなフォーカスポイントの写真を選べる「フォーカスセレクト＆フォーカス合成」モードも備える,,
キヤノン、自分撮りに対応した光学40倍デジカメ「PowerShot SX730 HS」,キヤノンは、コンパクトデジタルカメラ「ＰｏｗｅｒＳｈｏｔ」の新モデルとして、「ＰｏｗｅｒＳｈｏｔＳＸ730ＨＳ」を発表,市場想定価格は48，500円前後,本体サイズは110．1×63．8×39．9ｍｍ,重量は約300ｇ,記録メディアは、ＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカードに対応,5月下旬より発売する,ボディカラーは、シルバーとブラックの2色を用意する,有効画素数は約2030万画素となっている,バッテリー寿命は、約250枚もしくは約355枚,,自分撮りでは、上方向に約180度回転するチルト式液晶を搭載し、自分撮りやローアングル撮影に対応|背面モニターは3．0型チルト液晶を搭載,,,,,,このほか、Ｗｉ−Ｆｉを内蔵し、ＮＦＣにも対応|Ｂｌｕｅｔｏｏｔｈ接続では、スマートフォンとの常時接続が可能なＢｌｕｅｔｏｏｔｈｌｏｗｅｎｅｒｇｙｔｅｃｈｎｏｌｏｇｙに対応し、スマートフォンをリモコンとして使用したり、Ｗｉ−Ｆｉ接続がスムーズに行える|2016年3月発売の光学40倍ズームモデル「ＰｏｗｅｒＳｈｏｔＳＸ720ＨＳ」の後継機種で、新たに自分撮りやＢｌｕｅｔｏｏｔｈに対応したのが特徴だ,基本性能では、35ｍｍ判換算で24～960ｍｍ相当の撮影領域に対応する光学40倍ズームレンズを搭載,基本性能では、35ｍｍ判換算で24～960ｍｍ相当の撮影領域に対応する光学40倍ズームレンズを搭載|デジタルズーム、プログレッシブファインズームを使用することで、80倍まで撮影可能だ,,,,映像エンジンには「ＤＩＧＩＣ6」を搭載,,,,,,,フルＨＤ／59．94ｆｐｓの動画撮影に対応するほか、光学式と電子式を併用した5軸の手ブレ補正により、ブレを抑えた快適な動画撮影が可能だ,,モードダイヤルで切り換えられる「自分撮りモード」では、明るさなどを調整し、構図や表情を確認しながら撮影することが可能だ|従来は「自分撮りモード」のみだった「美肌モード」を、通常撮影でも使用が可能になっている|さらに、背景をぼかしたり、美肌効果の調整が可能な「美肌モード」でよりきれいな自分撮りが可能,
